001	妙蛙种子	45	49	49	65	65	45	318
002	妙蛙草	60	62	63	80	80	60	405
003	妙蛙花	80	82	83	100	100	80	525
003	超级妙蛙花	80	100	123	122	120	80	625
004	小火龙	39	52	43	60	50	65	309
005	火恐龙	58	64	58	80	65	80	405
006	喷火龙	78	84	78	109	85	100	534
006	超级喷火龙Ｘ	78	130	111	130	85	100	634
006	超级喷火龙Ｙ	78	104	78	159	115	100	634
007	杰尼龟	44	48	65	50	64	43	314
008	卡咪龟	59	63	80	65	80	58	405
009	水箭龟	79	83	100	85	105	78	530
009	超级水箭龟	79	103	120	135	115	78	630
010	绿毛虫	45	30	35	20	20	45	195
011	铁甲蛹	50	20	55	25	25	30	205
012	巴大蝶	60	45	50	90	80	70	395
013	独角虫	40	35	30	20	20	50	195
014	铁壳蛹	45	25	50	25	25	35	205
015	大针蜂	65	90	40	45	80	75	395
015	超级大针蜂	65	150	40	15	80	145	495
016	波波	40	45	40	35	35	56	251
017	比比鸟	63	60	55	50	50	71	349
018	大比鸟	83	80	75	70	70	101	479
018	超级大比鸟	83	80	80	135	80	121	579
019	小拉达	30	56	35	25	35	72	253
019	阿罗拉小拉达	30	56	55	25	35	72	273
020	拉达	55	81	60	50	70	97	413
020	阿罗拉拉达	75	71	70	40	80	77	413
021	烈雀	40	60	30	31	31	70	262
022	大嘴雀	65	90	65	61	61	100	442
023	阿柏蛇	35	60	44	40	54	55	288
024	阿柏怪	60	95	69	65	79	80	448
025	皮卡丘	35	55	40	50	50	90	320
025	搭档皮卡丘	45	80	50	75	60	120	430
026	雷丘	60	90	55	90	80	110	485
026	阿罗拉雷丘	60	90	55	90	80	110	485
027	穿山鼠	50	75	85	20	30	40	300
027	阿罗拉穿山鼠	50	75	90	10	35	40	300
028	穿山王	75	100	110	45	55	65	450
028	阿罗拉穿山王	75	100	120	25	65	65	450
029	尼多兰	55	47	52	40	40	41	275
030	尼多娜	70	62	67	55	55	56	365
031	尼多后	90	92	87	75	85	76	505
032	尼多朗	46	57	40	40	40	50	273
033	尼多力诺	61	72	57	55	55	65	365
034	尼多王	81	102	77	85	75	85	505
035	皮皮	70	45	48	60	65	35	323
036	皮可西	95	70	73	95	90	60	483
037	六尾	38	41	40	50	65	65	299
037	阿罗拉六尾	38	41	40	50	65	65	299
038	九尾	73	76	75	81	100	100	505
038	阿罗拉九尾	73	67	75	81	100	109	505
039	胖丁	115	45	20	45	25	20	270
040	胖可丁	140	70	45	85	50	45	435
041	超音蝠	40	45	35	30	40	55	245
042	大嘴蝠	75	80	70	65	75	90	455
043	走路草	45	50	55	75	65	30	320
044	臭臭花	60	65	70	85	75	40	395
045	霸王花	75	80	85	110	90	50	490
046	派拉斯	35	70	55	45	55	25	285
047	派拉斯特	60	95	80	60	80	30	405
048	毛球	60	55	50	40	55	45	305
049	摩鲁蛾	70	65	60	90	75	90	450
050	地鼠	10	55	25	35	45	95	265
050	阿罗拉地鼠	10	55	30	35	45	90	265
051	三地鼠	35	100	50	50	70	120	425
051	阿罗拉三地鼠	35	100	60	50	70	110	425
052	喵喵	40	45	35	40	40	90	290
